Loading Hopkins155 data from: data/Hopkins155/
finished loading data for 157 sequences
cuda
Full Training Epoch 108/500, Avg Loss: 0.4977
Full Training Epoch 109/500, Avg Loss: 0.4999
Full Training Epoch 110/500, Avg Loss: 0.5011
Full Training Epoch 111/500, Avg Loss: 0.5049
Full Training Epoch 112/500, Avg Loss: 0.4992
Full Training Epoch 113/500, Avg Loss: 0.4977
Full Training Epoch 114/500, Avg Loss: 0.4993
Full Training Epoch 115/500, Avg Loss: 0.5009
Full Training Epoch 116/500, Avg Loss: 0.4986
Full Training Epoch 117/500, Avg Loss: 0.4996
Full Training Epoch 118/500, Avg Loss: 0.4994
Full Training Epoch 119/500, Avg Loss: 0.4996
Full Training Epoch 120/500, Avg Loss: 0.4970
Full Training Epoch 121/500, Avg Loss: 0.4968
Full Training Epoch 122/500, Avg Loss: 0.4986
Full Training Epoch 123/500, Avg Loss: 0.4983
Full Training Epoch 124/500, Avg Loss: 0.4992
Full Training Epoch 125/500, Avg Loss: 0.4987
Full Training Epoch 126/500, Avg Loss: 0.4968
Full Training Epoch 127/500, Avg Loss: 0.4962
Full Training Epoch 128/500, Avg Loss: 0.5017
Full Training Epoch 129/500, Avg Loss: 0.5018
Full Training Epoch 130/500, Avg Loss: 0.4981
Full Training Epoch 131/500, Avg Loss: 0.4979
Full Training Epoch 132/500, Avg Loss: 0.4988
Full Training Epoch 133/500, Avg Loss: 0.5003
Full Training Epoch 134/500, Avg Loss: 0.4977
Full Training Epoch 135/500, Avg Loss: 0.4964
Full Training Epoch 136/500, Avg Loss: 0.4971
Full Training Epoch 137/500, Avg Loss: 0.4959
Full Training Epoch 138/500, Avg Loss: 0.4993
Full Training Epoch 139/500, Avg Loss: 0.4981
Full Training Epoch 140/500, Avg Loss: 0.4987
Full Training Epoch 141/500, Avg Loss: 0.4969
Full Training Epoch 142/500, Avg Loss: 0.4958
Full Training Epoch 143/500, Avg Loss: 0.4954
Full Training Epoch 144/500, Avg Loss: 0.4955
Full Training Epoch 145/500, Avg Loss: 0.5002
Full Training Epoch 146/500, Avg Loss: 0.5017
Full Training Epoch 147/500, Avg Loss: 0.4997
Full Training Epoch 148/500, Avg Loss: 0.4993
Full Training Epoch 149/500, Avg Loss: 0.4956
Full Training Epoch 150/500, Avg Loss: 0.4951
Full Training Epoch 151/500, Avg Loss: 0.4950
Full Training Epoch 152/500, Avg Loss: 0.4957
